pipeline_task_id,pipeline_name,pipeline_task_name,source_col_name,target_col_name,column_order,target_data_type,transformation_rule,version,last_updated,last_updated_by
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,ACNT_ID_NUM,ACNT_ID_NUM_KEY,1,string,passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,ACNT_ID_NUM,ACNT_ID_NUM,2,string,passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,SHDW_BAL_AMT_NEW,SHDW_BAL_AMT,30,"decimal(23,4)",passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,SHDW_BAL_DTTM_NEW,SHDW_BAL_DTTM,31,timestamp,passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,SHDW_BAL_SEQ_NEW,SHDW_BAL_SEQ,32,string,passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,LDGR_BAL_AMT_NEW,LDGR_BAL_AMT,33,"decimal(23,4)",passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,LDGR_BAL_DTTM_NEW,LDGR_BAL_DTTM,34,timestamp,passthrough,0.24,2025-03-05,c138147
cde_bkkg_acntbal_brdj_stream,cde_bkkg_acntbal_brdj_stream,stream_load,LDGR_BAL_SEQ_NEW,LDGR_BAL_SEQ,35,string,passthrough,0.24,2025-03-05,c138147
